Frame, Time (ms), Delta (ms) , Memory (mb)
  653,9708.798,12.788,5498
  654,9720.729,11.932,5498
  655,9738.989,18.260,5498
  656,9752.803,13.813,5498
  657,9764.686,11.883,5498
  658,9784.094,19.408,5498
  659,9795.612,11.519,5498
  660,9811.154,15.542,5498
  661,9827.105,15.951,5498
  662,9843.559,16.453,5498
  663,9855.614,12.056,5498
  664,9870.337,14.722,5498
  665,9886.188,15.852,5498
  666,9905.779,19.591,5498
  667,9918.979,13.199,5498
  668,9932.786,13.808,5498
  669,9953.743,20.957,5498
  670,9964.438,10.694,5498
  671,9975.231,10.794,5498
  672,9990.540,15.309,5498
  673,10008.972,18.431,5498
  674,10020.309,11.337,5498
  675,10035.242,14.934,5498
  676,10053.510,18.267,5498
  677,10069.208,15.699,5498
  678,10083.979,14.770,5498
  679,10098.864,14.886,5498
  680,10111.955,13.091,5498
  681,10128.628,16.672,5498
  682,10144.204,15.577,5498
  683,10159.862,15.658,5498
  684,10176.478,16.615,5498
  685,10185.076, 8.599,5498
  686,10200.664,15.588,5498
  687,10217.578,16.914,5498
  688,10232.046,14.467,5498
  689,10249.190,17.145,5498
  690,10262.789,13.599,5498
  691,10279.023,16.234,5498
  692,10295.218,16.194,5498
  693,10315.896,20.678,5499
  694,10335.377,19.481,5500
  695,10352.556,17.179,5500
  696,10366.257,13.701,5500
  697,10375.365, 9.109,5500
  698,10390.139,14.773,5500
  699,10404.759,14.620,5500
  700,10420.142,15.383,5500
  701,10437.126,16.984,5500
  702,10453.257,16.131,5500
  703,10473.707,20.451,5500
  704,10491.978,18.270,5500
  705,10507.105,15.128,5500
  706,10521.188,14.082,5500
  707,10532.947,11.760,5500
  708,10551.622,18.675,5500
  709,10562.329,10.707,5500
  710,10578.156,15.827,5500
  711,10600.582,22.426,5501
  712,10610.730,10.148,5501
  713,10624.987,14.257,5501
  714,10642.030,17.043,5501
  715,10656.358,14.328,5501
  716,10669.304,12.945,5501
  717,10684.826,15.523,5501
  718,10705.387,20.560,5501
  719,10719.549,14.162,5501
  720,10731.278,11.730,5501
  721,10747.360,16.082,5501
  722,10762.203,14.843,5501
  723,10782.427,20.223,5501
  724,10797.886,15.459,5501
  725,10814.381,16.495,5501
  726,10827.628,13.247,5501
  727,10843.103,15.475,5501
  728,10860.135,17.032,5501
  729,10870.905,10.771,5501
  730,10886.953,16.048,5501
  731,10901.466,14.512,5501
  732,10918.383,16.917,5501
  733,10937.966,19.583,5501
  734,10953.621,15.656,5501
  735,10969.820,16.199,5501
  736,10986.695,16.875,5501
  737,10995.453, 8.758,5501
  738,11010.833,15.379,5501
  739,11029.589,18.756,5501
  740,11047.665,18.077,5501
  741,11059.274,11.609,5501
  742,11080.721,21.446,5501
  743,11095.300,14.579,5501
  744,11108.950,13.651,5501
  745,11118.077, 9.127,5501
  746,11139.606,21.529,5501
  747,11149.674,10.067,5501
  748,11167.991,18.318,5501
  749,11186.458,18.466,5501
  750,11200.372,13.915,5501
  751,11217.227,16.854,5501
  752,11232.395,15.168,5501
  753,11248.777,16.383,5501
  754,11264.228,15.450,5501
  755,11273.535, 9.308,5501
  756,11294.296,20.760,5501
  757,11315.523,21.228,5501
  758,11332.752,17.228,5501
  759,11346.674,13.922,5501
  760,11364.193,17.520,5501
  761,11377.603,13.409,5501
  762,11391.512,13.909,5501
  763,11412.256,20.744,5501
  764,11427.238,14.983,5501
  765,11441.816,14.578,5501
  766,11459.884,18.067,5501
  767,11479.459,19.575,5501
  768,11500.087,20.628,5501
  769,11520.780,20.694,5501
  770,11540.760,19.979,5501
  771,11553.613,12.854,5501
  772,11571.853,18.239,5501
  773,11586.441,14.589,5501
  774,11606.491,20.050,5501
  775,11622.422,15.930,5501
  776,11635.157,12.736,5501
  777,11648.519,13.361,5501
  778,11664.531,16.013,5501
  779,11680.802,16.270,5501
  780,11698.171,17.369,5501
  781,11713.800,15.629,5502
  782,11731.207,17.407,5503
  783,11743.943,12.737,5503
  784,11759.078,15.135,5503
  785,11775.040,15.961,5503
  786,11790.792,15.752,5503
  787,11800.948,10.157,5503
  788,11812.972,12.023,5503
  789,11828.271,15.299,5503
  790,11846.079,17.809,5503
  791,11866.483,20.404,5503
  792,11882.769,16.285,5503
  793,11895.413,12.645,5503
  794,11912.263,16.849,5503
  795,11930.203,17.941,5503
  796,11941.442,11.239,5503
  797,11957.298,15.855,5503
  798,11974.335,17.037,5503
  799,11986.201,11.867,5503
  800,12003.556,17.354,5503
  801,12019.025,15.470,5503
  802,12039.815,20.790,5503
  803,12057.439,17.624,5503
  804,12072.118,14.679,5503
  805,12088.849,16.730,5503
  806,12105.836,16.987,5503
  807,12122.898,17.063,5503
  808,12137.753,14.854,5503
  809,12146.650, 8.898,5503
  810,12162.569,15.919,5503
  811,12180.979,18.409,5503
  812,12202.764,21.785,5503
  813,12218.099,15.335,5503
  814,12231.378,13.279,5503
  815,12248.138,16.760,5503
  816,12268.348,20.210,5503
  817,12284.359,16.012,5503
  818,12301.226,16.866,5503
  819,12316.765,15.539,5503
  820,12341.047,24.282,5503
  821,12364.489,23.443,5503
  822,12373.756, 9.266,5503
  823,12384.064,10.309,5503
  824,12400.207,16.142,5503
  825,12415.444,15.238,5503
  826,12425.605,10.161,5503
  827,12440.938,15.333,5503
  828,12462.495,21.557,5503
  829,12479.640,17.144,5503
  830,12497.652,18.013,5503
  831,12515.843,18.190,5503
  832,12543.931,28.088,5503
  833,12556.608,12.678,5503
  834,12570.223,13.614,5503
  835,12584.677,14.454,5503
  836,12600.513,15.836,5503
  837,12619.873,19.360,5503
  838,12638.921,19.048,5503
  839,12654.928,16.007,5503
  840,12669.688,14.760,5503
  841,12687.010,17.322,5503
  842,12707.475,20.465,5503
  843,12732.711,25.236,5503
  844,12750.578,17.868,5503
  845,12771.538,20.959,5503
  846,12789.685,18.147,5503
  847,12799.458, 9.773,5503
  848,12817.193,17.736,5503
  849,12833.667,16.473,5503
  850,12852.554,18.887,5503
  851,12869.584,17.030,5503
  852,12886.150,16.567,5503
  853,12900.906,14.756,5503
  854,12918.736,17.830,5503
  855,12933.840,15.103,5503
  856,12943.438, 9.599,5503
  857,12963.168,19.729,5503
  858,12977.355,14.188,5503
  859,13000.547,23.191,5503
  860,13015.142,14.595,5503
  861,13032.925,17.783,5504
  862,13050.744,17.820,5504
  863,13066.885,16.140,5504
  864,13083.963,17.078,5504
  865,13099.811,15.848,5504
  866,13119.512,19.701,5504
  867,13142.969,23.457,5504
  868,13153.478,10.509,5504
  869,13169.643,16.165,5504
  870,13190.023,20.381,5504
  871,13217.207,27.183,5504
  872,13226.517, 9.310,5504
  873,13239.098,12.581,5504
  874,13257.622,18.524,5504
  875,13275.258,17.636,5504
  876,13295.057,19.799,5504
  877,13313.492,18.436,5504
  878,13324.708,11.215,5504
  879,13346.518,21.810,5504
  880,13363.197,16.680,5504
  881,13383.780,20.583,5504
  882,13400.834,17.053,5504
  883,13423.579,22.745,5504
  884,13439.044,15.465,5504
  885,13458.726,19.682,5504
  886,13476.388,17.662,5504
  887,13493.730,17.343,5505
  888,13513.933,20.202,5505
  889,13535.247,21.314,5506
  890,13550.771,15.524,5506
  891,13577.918,27.147,5506
  892,13595.266,17.348,5506
  893,13613.096,17.830,5506
  894,13636.900,23.805,5506
  895,13654.548,17.647,5506
  896,13671.115,16.568,5506
  897,13688.306,17.190,5506
  898,13707.295,18.989,5506
  899,13725.891,18.596,5506
  900,13743.050,17.159,5506
  901,13777.770,34.720,5506
  902,13797.154,19.385,5506
  903,13811.183,14.028,5507
  904,13828.324,17.142,5507
  905,13848.457,20.132,5507
  906,13863.812,15.355,5507
  907,13877.927,14.115,5507
  908,13892.012,14.085,5507
  909,13913.140,21.128,5507
  910,13935.207,22.067,5507
  911,13956.829,21.622,5507
  912,13976.443,19.615,5507
  913,13995.369,18.925,5507
  914,14013.837,18.468,5507
  915,14031.869,18.032,5507
  916,14043.419,11.550,5507
  917,14077.616,34.198,5507
  918,14095.982,18.366,5507
  919,14116.888,20.905,5507
  920,14130.298,13.410,5507
  921,14145.953,15.655,5507
  922,14167.277,21.325,5507
  923,14179.688,12.411,5507
